index,tier,sentence,score
1,Shadow,Masked Shadow sentence.,-4.9
2,Shadow,Masked Shadow sentence.,-4.9
3,Shadow,Masked Shadow sentence.,-4.9
4,Shadow,Masked Shadow sentence.,-4.8
5,Shadow,Masked Shadow sentence.,-4.8
6,Shadow,Masked Shadow sentence.,-4.8
7,Shadow,Masked Shadow sentence.,-4.78
8,Shadow,Masked Shadow sentence.,-4.78
9,Shadow,Masked Shadow sentence.,-4.78
10,Shadow,Masked Shadow sentence.,-4.75
11,Shadow,Masked Shadow sentence.,-4.75
12,Shadow,Masked Shadow sentence.,-4.75
13,Shadow,Masked Shadow sentence.,-4.7
14,Shadow,Masked Shadow sentence.,-4.7
15,Shadow,Masked Shadow sentence.,-4.7
16,Shadow,Masked Shadow sentence.,-4.68
17,Shadow,Masked Shadow sentence.,-4.68
18,Shadow,Masked Shadow sentence.,-4.68
19,Shadow,Masked Shadow sentence.,-4.6
20,Shadow,Masked Shadow sentence.,-4.6
21,Shadow,Masked Shadow sentence.,-4.6
22,Shadow,Masked Shadow sentence.,-4.6
23,Shadow,Masked Shadow sentence.,-4.6
24,Shadow,Masked Shadow sentence.,-4.6
25,Shadow,Masked Shadow sentence.,-4.58
26,Shadow,Masked Shadow sentence.,-4.58
27,Shadow,Masked Shadow sentence.,-4.58
28,Shadow,Masked Shadow sentence.,-4.56
29,Shadow,Masked Shadow sentence.,-4.56
30,Shadow,Masked Shadow sentence.,-4.56
31,Shadow,Masked Shadow sentence.,-4.56
32,Shadow,Masked Shadow sentence.,-4.56
33,Shadow,Masked Shadow sentence.,-4.56
34,Shadow,Masked Shadow sentence.,-4.55
35,Shadow,Masked Shadow sentence.,-4.55
36,Shadow,Masked Shadow sentence.,-4.55
37,Shadow,Masked Shadow sentence.,-4.55
38,Shadow,Masked Shadow sentence.,-4.55
39,Shadow,Masked Shadow sentence.,-4.55
40,Shadow,Masked Shadow sentence.,-4.54
41,Shadow,Masked Shadow sentence.,-4.54
42,Shadow,Masked Shadow sentence.,-4.54
43,Shadow,Masked Shadow sentence.,-4.54
44,Shadow,Masked Shadow sentence.,-4.54
45,Shadow,Masked Shadow sentence.,-4.54
46,Shadow,Masked Shadow sentence.,-4.5
47,Shadow,Masked Shadow sentence.,-4.5
48,Shadow,Masked Shadow sentence.,-4.5
49,Shadow,Masked Shadow sentence.,-4.5
50,Shadow,Masked Shadow sentence.,-4.5
51,Shadow,Masked Shadow sentence.,-4.5
52,Shadow,Masked Shadow sentence.,-4.5
53,Shadow,Masked Shadow sentence.,-4.5
54,Shadow,Masked Shadow sentence.,-4.5
55,Shadow,Masked Shadow sentence.,-4.44
56,Shadow,Masked Shadow sentence.,-4.44
57,Shadow,Masked Shadow sentence.,-4.44
58,Striving,Masked Striving sentence.,-4.42
59,Striving,Masked Striving sentence.,-4.42
60,Striving,Masked Striving sentence.,-4.42
61,Striving,Masked Striving sentence.,-4.4
62,Striving,Masked Striving sentence.,-4.4
63,Striving,Masked Striving sentence.,-4.4
64,Shadow,Masked Shadow sentence.,-4.34
65,Shadow,Masked Shadow sentence.,-4.34
66,Shadow,Masked Shadow sentence.,-4.34
67,Shadow,Masked Shadow sentence.,-4.32
68,Shadow,Masked Shadow sentence.,-4.32
69,Shadow,Masked Shadow sentence.,-4.32
70,Shadow,Masked Shadow sentence.,-4.3
71,Shadow,Masked Shadow sentence.,-4.3
72,Shadow,Masked Shadow sentence.,-4.3
73,Shadow,Masked Shadow sentence.,-4.3
74,Shadow,Masked Shadow sentence.,-4.3
75,Shadow,Masked Shadow sentence.,-4.3
76,Shadow,Masked Shadow sentence.,-4.24
77,Shadow,Masked Shadow sentence.,-4.24
78,Shadow,Masked Shadow sentence.,-4.24
79,Shadow,Masked Shadow sentence.,-4.22
80,Shadow,Masked Shadow sentence.,-4.22
81,Shadow,Masked Shadow sentence.,-4.22
82,Striving,Masked Striving sentence.,-3.32
83,Striving,Masked Striving sentence.,-3.32
84,Striving,Masked Striving sentence.,-3.32
85,Striving,Masked Striving sentence.,-3.3
86,Striving,Masked Striving sentence.,-3.3
87,Striving,Masked Striving sentence.,-3.3
88,Striving,Masked Striving sentence.,-3.3
89,Striving,Masked Striving sentence.,-3.3
90,Striving,Masked Striving sentence.,-3.3
91,Striving,Masked Striving sentence.,-3.25
92,Striving,Masked Striving sentence.,-3.25
93,Striving,Masked Striving sentence.,-3.25
94,Striving,Masked Striving sentence.,-3.18
95,Striving,Masked Striving sentence.,-3.18
96,Striving,Masked Striving sentence.,-3.18
97,Striving,Masked Striving sentence.,-3.06
98,Striving,Masked Striving sentence.,-3.06
99,Striving,Masked Striving sentence.,-3.06
100,Striving,Masked Striving sentence.,-3.06
101,Striving,Masked Striving sentence.,-3.06
102,Striving,Masked Striving sentence.,-3.06
103,Striving,Masked Striving sentence.,-3.05
104,Striving,Masked Striving sentence.,-3.05
105,Striving,Masked Striving sentence.,-3.05
106,Striving,Masked Striving sentence.,-3.05
107,Striving,Masked Striving sentence.,-3.05
108,Striving,Masked Striving sentence.,-3.05
109,Striving,Masked Striving sentence.,-3
110,Striving,Masked Striving sentence.,-3
111,Striving,Masked Striving sentence.,-3
112,Striving,Masked Striving sentence.,-2.94
113,Striving,Masked Striving sentence.,-2.94
114,Striving,Masked Striving sentence.,-2.94
115,Striving,Masked Striving sentence.,-2.94
116,Striving,Masked Striving sentence.,-2.94
117,Striving,Masked Striving sentence.,-2.94
118,Striving,Masked Striving sentence.,-2.82
119,Striving,Masked Striving sentence.,-2.82
120,Striving,Masked Striving sentence.,-2.82
121,Striving,Masked Striving sentence.,-2.82
122,Striving,Masked Striving sentence.,-2.82
123,Striving,Masked Striving sentence.,-2.82
124,Conflict,Masked Conflict sentence.,-2.3
125,Conflict,Masked Conflict sentence.,-2.3
126,Conflict,Masked Conflict sentence.,-2.3
127,Conflict,Masked Conflict sentence.,-2.2
128,Conflict,Masked Conflict sentence.,-2.2
129,Conflict,Masked Conflict sentence.,-2.2
130,Conflict,Masked Conflict sentence.,-2.16
131,Conflict,Masked Conflict sentence.,-2.16
132,Conflict,Masked Conflict sentence.,-2.16
133,Conflict,Masked Conflict sentence.,-2.12
134,Conflict,Masked Conflict sentence.,-2.12
135,Conflict,Masked Conflict sentence.,-2.12
136,Conflict,Masked Conflict sentence.,-2.1
137,Conflict,Masked Conflict sentence.,-2.1
138,Conflict,Masked Conflict sentence.,-2.1
139,Conflict,Masked Conflict sentence.,-2.08
140,Conflict,Masked Conflict sentence.,-2.08
141,Conflict,Masked Conflict sentence.,-2.08
142,Conflict,Masked Conflict sentence.,-2.05
143,Conflict,Masked Conflict sentence.,-2.05
144,Conflict,Masked Conflict sentence.,-2.05
145,Conflict,Masked Conflict sentence.,-2.04
146,Conflict,Masked Conflict sentence.,-2.04
147,Conflict,Masked Conflict sentence.,-2.04
148,Conflict,Masked Conflict sentence.,-2
149,Conflict,Masked Conflict sentence.,-2
150,Conflict,Masked Conflict sentence.,-2
151,Conflict,Masked Conflict sentence.,-1.98
152,Conflict,Masked Conflict sentence.,-1.98
153,Conflict,Masked Conflict sentence.,-1.98
154,Conflict,Masked Conflict sentence.,-1.96
155,Conflict,Masked Conflict sentence.,-1.96
156,Conflict,Masked Conflict sentence.,-1.96
157,Conflict,Masked Conflict sentence.,-1.92
158,Conflict,Masked Conflict sentence.,-1.92
159,Conflict,Masked Conflict sentence.,-1.92
160,Striving,Masked Striving sentence.,-1.9
161,Striving,Masked Striving sentence.,-1.9
162,Striving,Masked Striving sentence.,-1.9
163,Striving,Masked Striving sentence.,-1.86
164,Striving,Masked Striving sentence.,-1.86
165,Striving,Masked Striving sentence.,-1.86
166,Striving,Masked Striving sentence.,-1.85
167,Striving,Masked Striving sentence.,-1.85
168,Striving,Masked Striving sentence.,-1.85
169,Conflict,Masked Conflict sentence.,-1.82
170,Conflict,Masked Conflict sentence.,-1.82
171,Conflict,Masked Conflict sentence.,-1.82
172,Conflict,Masked Conflict sentence.,-1.8
173,Conflict,Masked Conflict sentence.,-1.8
174,Conflict,Masked Conflict sentence.,-1.8
175,Conflict,Masked Conflict sentence.,-1.78
176,Conflict,Masked Conflict sentence.,-1.78
177,Conflict,Masked Conflict sentence.,-1.78
178,Conflict,Masked Conflict sentence.,-1.78
179,Conflict,Masked Conflict sentence.,-1.78
180,Conflict,Masked Conflict sentence.,-1.78
181,Conflict,Masked Conflict sentence.,-1.75
182,Conflict,Masked Conflict sentence.,-1.75
183,Conflict,Masked Conflict sentence.,-1.75
184,Conflict,Masked Conflict sentence.,-1.72
185,Conflict,Masked Conflict sentence.,-1.72
186,Conflict,Masked Conflict sentence.,-1.72
187,Conflict,Masked Conflict sentence.,-1.7
188,Conflict,Masked Conflict sentence.,-1.7
189,Conflict,Masked Conflict sentence.,-1.7
190,Conflict,Masked Conflict sentence.,-1.7
191,Conflict,Masked Conflict sentence.,-1.7
192,Conflict,Masked Conflict sentence.,-1.7
193,Conflict,Masked Conflict sentence.,-1.6
194,Conflict,Masked Conflict sentence.,-1.6
195,Conflict,Masked Conflict sentence.,-1.6
196,Conflict,Masked Conflict sentence.,-0.5
197,Conflict,Masked Conflict sentence.,-0.5
198,Conflict,Masked Conflict sentence.,-0.5
199,Activation,Masked Activation sentence.,-0.5
